,backoff,has_more,items,page,quota_max,quota_remaining,total
0,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'hebrew'}",1,10000,9999,0
1,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'expired'}",1,10000,9999,0
2,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'concurrent-h1b'}",1,10000,9999,0
3,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'housekeeping'}",1,10000,9999,0
4,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'canadian-permanent-residents'}",1,10000,9999,0
5,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 3, 'name': 'tijuana'}",1,10000,9999,0
6,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'opo'}",1,10000,9999,0
7,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'electric-vehicle'}",1,10000,9999,0
8,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 19, 'name': 'permesso-di-soggiorno'}",1,10000,9999,0
9,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'wisconsin'}",1,10000,9999,0
10,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'name'}",1,10000,9999,0
11,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'namibian-citizens'}",1,10000,9999,0
12,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'indiabubble'}",1,10000,9999,0
13,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'long-stay-visasvisa'}",1,10000,9999,0
14,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'thai-airways'}",1,10000,9999,0
15,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'add'}",1,10000,9999,0
16,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'viva-aerobus'}",1,10000,9999,0
17,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'tij'}",1,10000,9999,0
18,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'volaris'}",1,10000,9999,0
19,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'nicop'}",1,10000,9999,0
20,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'nadra'}",1,10000,9999,0
21,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'mexican-residents'}",1,10000,9999,0
22,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'arrivecan'}",1,10000,9999,0
23,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'monterrey'}",1,10000,9999,0
24,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'san-antonio'}",1,10000,9999,0
25,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 3, 'name': 'british'}",1,10000,9999,0
26,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 5, 'name': 'el-salvador'}",1,10000,9999,0
27,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 1, 'name': 'trans-mongolian'}",1,10000,9999,0
28,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'sao-tome-and-principe'}",1,10000,9999,0
29,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'advance-passenger-information'}",1,10000,9999,0
30,0,False,"{'has_synonyms': False, 'is_moderator_only': False, 'is_required': False, 'count': 2, 'name': 'micro-states'}",1,10000,9999,0
